filename;shelfCoord
1fce0a5b-afa8-4d50-9dda-c6903f6173c1.jpg;0.12,0.29,0.44,0.67,0.99
e216ca4e-7192-4c74-986b-3e9586f17f20.jpg;0.99,0.9,0.81,0.73,0.65,0.57,0.48,0.4,0.28,0.13
be61c00b-378d-4eaf-b80c-bdd46e2f1fd6.jpg;1.0,0.84,0.69,0.55,0.41,0.27,0.14
3f2083c9-689c-4995-ab64-6fad59930495.jpg;0.01,0.16,0.31,0.44,0.58,0.72,0.84
8a83a9af-1c79-41e6-9519-9ba7435c9b87.jpg;0.0,0.16,0.31,0.45,0.59,0.73,0.85
b98dd555-fb6a-459a-ba1d-641e813a76a5.jpg;1.0,0.84,0.71,0.58,0.46,0.35,0.25,0.13
daf6652e-8194-45b3-ba95-487b1e390d63.jpg;0.99,0.78,0.57,0.38,0.18
ed507e27-43ea-41ca-a4ec-9641a525ed23.jpg;0.99,0.8,0.62,0.45,0.27,0.1
7c48ecdc-bef0-4765-bddd-5826c5e241f8.jpg;0.99,0.85,0.69,0.55,0.39,0.24,0.1
2f116f7c-a5f7-4345-98d2-b06710d007d8.jpg;0.99,0.82,0.65,0.48,0.32,0.15
bf01e1ed-9ff8-4d74-8409-4e948cfdcf49.jpg;0.99,0.84,0.69,0.55,0.42,0.28,0.13
329193b8-78a1-4161-9f13-d4de21203a31.jpg;0.99,0.83,0.71,0.59,0.45,0.35,0.23,0.11
a3f9e8af-192e-4492-b94d-22adeb21199b.jpg;0.97,0.86,0.75,0.65,0.55,0.42,0.29,0.2,0.12,0.06
fae1605c-2583-4258-b0ac-49606f2c196e.jpg;0.99,0.84,0.69,0.54,0.4,0.26,0.12
6871c9f6-444b-4918-866d-b68145d7d582.jpg;0.99,0.8,0.64,0.46,0.28,0.15
add0b98c-4c7b-4dce-8c77-2a0745094085.jpg;0.99,0.85,0.69,0.55,0.4,0.28,0.14
77c28a9c-5cf3-4f6e-a0c3-f2fafdc282b6.jpg;1.0,0.8,0.59,0.38,0.18
c5229c29-2ee3-4bb6-b019-4eb047982321.jpg;0.99,0.82,0.65,0.48,0.31,0.15
b7ff4eba-a091-4223-be97-396613e87377.jpg;0.99,0.83,0.65,0.53,0.41,0.2
b10ea210-08ae-480e-a0fb-6dbe7e77a295.jpg;1.0,0.81,0.66,0.51,0.36,0.24,0.11
0a10bfbb-c574-4563-b3b9-4c2a5dd013fe.jpg;0.99,0.82,0.67,0.52,0.38,0.26,0.13
dcbf0fb2-c761-4d26-bead-c89be80adb53.jpg;1.0,0.77,0.53,0.34,0.15
ff419c18-8bb1-4c95-96e9-00a4f31a9af3.jpg;0.99,0.81,0.61,0.38,0.16
cb2733ca-5df6-4cf8-a6a9-257d2f263e70.jpg;1.0,0.82,0.63,0.41,0.2
d66c1831-57ea-4b40-af31-ac2869d5bbf0.jpg;0.99,0.82,0.63,0.45,0.29,0.14
0e5b69b6-dbb6-475a-9007-df7d22387701.jpg;0.99,0.8,0.6,0.39,0.27,0.14
534788e8-f5b8-49b0-81dc-766e30ec32c0.jpg;0.0,0.15,0.3,0.43,0.56,0.7,0.82
095a52f2-96fd-4646-97f7-06aac9afb1e9.jpg;1.0,0.85,0.72,0.58,0.45,0.32,0.22,0.1
4d4b6aef-73fb-48e9-884c-ab9c1b9408f7.jpg;0.99,0.85,0.71,0.57,0.45,0.33,0.22,0.09
cddd4de0-a851-4277-ae92-d01f30a8becd.jpg;0.99,0.83,0.7,0.58,0.46,0.36,0.26,0.15
c2da122b-8523-40df-abb2-4d44c376f31f.jpg;0.98,0.67,0.45,0.28,0.1
4093dc3a-007b-4238-a18e-57002c6a9bf3.jpg;0.97,0.66,0.44,0.28,0.11
26807b88-10ce-4316-8635-0384ec2933d4.jpg;0.9,0.68,0.45,0.29,0.11
1900a24f-f5a6-49f3-82dd-86cc5cf6c5d4.jpg;0.98,0.68,0.47,0.3,0.13
d9f2bb14-4687-48cf-91ef-401c504b8eae.jpg;0.97,0.67,0.45,0.29,0.12
423e67d8-1508-4467-92df-38abd0681366.jpg;0.99,0.68,0.44,0.27,0.1
affe5570-54ab-4dd5-bacc-f1aca18fb7b9.jpg;0.98,0.68,0.46,0.3,0.12
2d1dc0a2-69dd-4e28-85fe-af2359f3960a.jpg;0.98,0.67,0.44,0.3,0.12
39013b2a-0741-4e7f-9e3e-ab0ee8d8bc9f.jpg;0.68,0.45,0.29,0.11,0.97
42619d95-41bf-4996-97e6-f44db0e8681c.jpg;0.1,0.25,0.39,0.54,0.69,0.83,0.97
e7b6f9e4-6ef0-41cb-852f-b6aa8938cfbc.jpg;0.98,0.87,0.76,0.63,0.51,0.38,0.25,0.14
7e918d2b-d136-453a-b218-bb2481463b4c.jpg;0.99,0.69,0.47,0.32,0.13
e2f3d474-80d4-42f8-82b0-5f9dd089fb1d.jpg;0.98,0.89,0.81,0.74,0.66,0.58,0.52,0.42,0.29,0.14
9572a7d8-b02d-4558-b6bc-a2bf144e9e88.jpg;0.98,0.82,0.71,0.61,0.5,0.39,0.27,0.12
60307781-d12f-4020-8a0b-330b4ac9b2c9.jpg;0.99,0.85,0.73,0.63,0.49,0.37,0.23,0.11
58b91e86-2ddd-4f4b-9c05-9186399cb157.jpg;0.97,0.86,0.73,0.6,0.53,0.47,0.39,0.26,0.12
a9245fb2-5506-4945-99bd-e15bdfdc380d.jpg;0.99,0.85,0.72,0.57,0.43,0.29,0.13
51a607f7-8c8f-476f-bb9a-67ece8532ed8.jpg;0.99,0.85,0.71,0.58,0.43,0.29,0.16
ab113a6f-8c10-4f7b-8173-9ee062892b4a.jpg;0.98,0.8,0.6,0.4,0.19
7acee8f8-a477-4d31-93a1-299e3b549ffc.jpg;0.99,0.83,0.66,0.5,0.35,0.19
4aa955db-731b-497c-89c3-07bb0f22c99d.jpg;0.99,0.81,0.63,0.37,0.21
972d4c79-a1ee-4fe4-9084-67c1cc62ea13.jpg;0.96,0.79,0.67,0.54,0.41,0.27,0.14
d28bbaff-3446-4325-b62d-41a5a3392a35.jpg;0.94,0.76,0.6,0.44,0.28,0.14
3346cf05-953f-4a8c-a4fd-d5c5a7be4e96.jpg;0.98,0.83,0.72,0.61,0.49,0.37,0.25,0.13
6383943f-a9aa-412a-b334-0f2dddb537b9.jpg;0.99,0.84,0.71,0.57,0.45,0.32,0.2,0.09
bbf8c8ef-b73d-4f7b-9412-befdead12533.jpg;1.0,0.74,0.58,0.43,0.29,0.16
cc0b236e-80ad-4eab-b79c-9f90d542fe1c.jpg;0.99,0.72,0.56,0.42,0.27,0.15
2144b4fe-26d7-4a09-8549-a098de5fb8be.jpg;0.98,0.81,0.72,0.61,0.55,0.47,0.36,0.24,0.12
e333a96e-dc94-4564-bffc-bc7391338339.jpg;1.0,0.75,0.55,0.35,0.13
58d59832-ba2d-4b4a-92bf-53c20ed961a4.jpg;0.99,0.81,0.66,0.51,0.38,0.25,0.11
b813e384-6949-461a-a3b5-33f69202f705.jpg;0.99,0.81,0.63,0.46,0.3,0.15
279b6152-13b6-4fb9-92a4-5ce72a120fc6.jpg;0.98,0.74,0.59,0.45,0.33,0.24,0.11
af6cfa76-86a2-426a-928d-f914cfe8eccd.jpg;0.99,0.84,0.68,0.5,0.32,0.14
d6c660ba-f48b-4cce-8fe2-5e035a15da31.jpg;0.98,0.81,0.61,0.43,0.3,0.15
c437421e-4bff-4099-bf13-bbae6559ad62.jpg;0.98,0.8,0.64,0.47,0.32,0.17
3993eabf-78e8-4198-9bab-a774f588d82a.jpg;0.97,0.79,0.65,0.51,0.39,0.25,0.12
3fa6ecfe-58b0-4603-9c34-be393ea97e0e.jpg;0.98,0.8,0.64,0.5,0.33,0.16
a1f8906a-581d-42f4-8388-b63aa3cd087e.jpg;0.98,0.76,0.55,0.35,0.13
